"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"2","Data Patterns (India) Ltd","DATAPATTNS","P&F | F.A","0.72%","2985.2","12,70,764"
"45","Cupid Limited","CUPID","P&F | F.A","0.67%","111.98","35,38,803"
"65","SEL Manufacturing Company Ltd","SELMC","P&F | F.A","0.66%","36.35","17,257"
"3","Hester Biosciences Limited","HESTERBIO","P&F | F.A","0.63%","1798","2,290"
"91","Ducon Infratechnologies Limited","DUCON","P&F | F.A","0.63%","6.34","5,34,794"
"68","Ashima Limited","ASHIMASYN","P&F | F.A","0.62%","30.9","1,31,575"
"81","Oriental Trimex Limited","ORIENTALTL","P&F | F.A","0.44%","13.56","11,40,002"
"51","Restaurant Brands Asia Ltd","RBA","P&F | F.A","0.2%","80.45","7,25,796"
"9","Jindal Photo Limited","JINDALPHOT","P&F | F.A","0.18%","854.95","3,847"
"46","Valiant Laboratories Ltd","VALIANTLAB","P&F | F.A","0.13%","107.79","23,895"
"66","Atlantaa Ltd","ATLANTAA","P&F | F.A","0.03%","36.11","15,141"
"96","Ansal Properties & Infrastructure Limited","ANSALAPI","P&F | F.A","0%","3.79","34,928"
"106","Future Enterprises Limited","FEL","P&F | F.A","0%","0.6","55,752"
"52","Rossell India Limited","ROSSELLIND","P&F | F.A","-0.01%","68.27","17,625"
"75","Silly Monks Entertainment Ltd","SILLYMONKS","P&F | F.A","-0.06%","15.88","4,248"
"16","Kalyani Forge Limited","KALYANIFRG","P&F | F.A","-0.1%","718.95","942"
"63","Jayaswal Neco Industries Limited","JAYNECOIND","P&F | F.A","-0.25%","39.81","2,85,362"
"39","Secmark Consultancy Ltd","SECMARK","P&F | F.A","-0.3%","158.42","5,736"
"14","AU Small Finance Bank","AUBANK","P&F | F.A","-0.43%","725.2","22,57,807"
"36","NACL Industries Ltd","NACLIND","P&F | F.A","-0.43%","175.6","91,667"
"67","Essar Shipping Limited","ESSARSHPNG","P&F | F.A","-0.6%","31.37","1,17,600"
"23","Best Agrolife Ltd","BESTAGRO","P&F | F.A","-0.61%","344.85","3,864"
"64","Malu Paper Mills Limited","MALUPAPER","P&F | F.A","-0.61%","39.01","22,429"
"49","The Byke Hospitality Ltd","BYKE","P&F | F.A","-0.72%","90.66","51,002"
"42","Delphi World Money Ltd","DELPHIFX","P&F | F.A","-0.74%","123.88","6,381"
"12","Silver Touch Technologies Ltd","SILVERTUC","P&F | F.A","-0.82%","769.5","30,727"
"88","Next Mediaworks Limited","NEXTMEDIA","P&F | F.A","-0.84%","7.07","863"
"27","Loyal Textile Mills Ltd","LOYALTEX","P&F | F.A","-0.86%","298.3","67"
"101","Kanani Industries Limited","KANANIIND","P&F | F.A","-0.92%","2.16","1,54,705"
"21","Dolphin Offshore Enterprises (India) Ltd","DOLPHIN","P&F | F.A","-0.96%","396.75","10,042"
"58","Manaksia Steels Limited","MANAKSTEEL","P&F | F.A","-1.01%","60.5","7,741"
"8","Electrotherm (india) Limited","ELECTHERM","P&F | F.A","-1.07%","995.7","3,748"
"40","Aptech Limited","APTECHT","P&F | F.A","-1.08%","156.55","31,409"
"48","Xelpmoc Design and Tech Ltd","XELPMOC","P&F | F.A","-1.16%","94.74","7,824"
"78","Binani Industries Limited","BINANIIND","P&F | F.A","-1.16%","14.5","22,370"
"55","Morepen Laboratories Limited","MOREPENLAB","P&F | F.A","-1.19%","63.81","34,57,082"
"4","NIBE Ltd","NIBE","P&F | F.A","-1.21%","1694.6","1,13,690"
"24","Indian Card Clothing Company Limited","INDIANCARD","P&F | F.A","-1.36%","341.35","7,366"
"70","Manaksia Aluminium Company Limited","MANAKALUCO","P&F | F.A","-1.4%","26.79","34,562"
"25","Sakar Healthcare Ltd","SAKAR","P&F | F.A","-1.51%","316.65","14,264"
"22","Senco Gold Ltd","SENCO","P&F | F.A","-1.54%","372.05","3,82,235"
"80","Sadbhav Engineering Limited","SADBHAV","P&F | F.A","-1.59%","13.62","1,22,871"
"100","Orchasp Ltd","ORCHASP","P&F | F.A","-1.62%","3.03","64,372"
"15","Bhartiya International Limited","BIL","P&F | F.A","-1.7%","723.5","1,176"
"29","Mangalore Chemicals & Fertilizers Limited","MANGCHEFER","P&F | F.A","-1.83%","281.05","4,05,099"
"97","DSJ Keep Learning Ltd","KEEPLEARN","P&F | F.A","-1.83%","3.75","17,333"
"83","Vardhman Polytex Limited","VARDMNPOLY","P&F | F.A","-1.9%","11.37","3,17,953"
"32","Mindteck (india) Limited","MINDTECK","P&F | F.A","-1.92%","242.8","86,234"
"38","Anant Raj Global Ltd","TARC","P&F | F.A","-1.92%","166.33","3,33,346"
"34","Euro India Fresh Foods Ltd","EIFFL","P&F | F.A","-1.94%","211.07","31,010"
"89","Sambhaav Media Limited","SAMBHAAV","P&F | F.A","-1.96%","7.02","71,687"
"54","One Point One Solutions Ltd","ONEPOINT","P&F | F.A","-2%","64.18","27,53,854"
"69","Peninsula Land Limited","PENINLAND","P&F | F.A","-2%","27.9","60,549"
"56","VL E-Governance & IT Solutions Ltd","VLEGOV","P&F | F.A","-2.01%","63.73","92,802"
"72","Avonmore Capital & Management Services Ltd","AVONMORE","P&F | F.A","-2.03%","20.22","52,589"
"73","Astron Paper & Board Mill Ltd","ASTRON","P&F | F.A","-2.03%","19.28","965"
"31","Trejhara Solutions Ltd","TREJHARA","P&F | F.A","-2.06%","243.02","6,245"
"37","Paradeep Phosphates Ltd","PARADEEP","P&F | F.A","-2.15%","172.71","51,49,253"
"44","Rama Phosphates Ltd","RAMAPHO","P&F | F.A","-2.16%","115.84","11,512"
"13","Shree Vasu Logistics Ltd","SVLL","P&F | F.A","-2.2%","730.4","6,286"
"95","Noida Toll Bridge Company Limited","NOIDATOLL","P&F | F.A","-2.24%","3.93","62,295"
"77","Stl Global Limited","SGL","P&F | F.A","-2.55%","15.67","10,496"
"35","Northern ARC Capital Ltd","NORTHARC","P&F | F.A","-2.99%","207.74","5,39,509"
"18","Uravi T and Wedge Lamps Ltd","URAVIDEF","P&F | F.A","-3.14%","474.05","4,643"
"90","Country Condo's Limited","COUNCODOS","P&F | F.A","-3.3%","6.75","1,03,966"
"10","Jindal Poly Investment And Finance Company Limited","JPOLYINVST","P&F | F.A","-3.53%","830.25","23,902"
"85","Spacenet Enterprises India Ltd","SPCENET","P&F | F.A","-3.59%","8.59","5,35,640"
"82","Mirc Electronics Limited","MIRCELECTR","P&F | F.A","-3.95%","13.38","3,02,161"
"1","Vadilal Industries Limited","VADILALIND","P&F | F.A","-4.05%","5269","24,600"
"19","Panacea Biotec Limited","PANACEABIO","P&F | F.A","-4.58%","456.85","5,48,785"
"59","Aarey Drugs & Pharmaceuticals Ltd","AAREYDRUGS","P&F | F.A","-4.66%","50.16","25,302"
"71","SecureKloud Technologies Ltd","SECURKLOUD","P&F | F.A","-4.85%","24.94","46,477"
"76","India VIX","INDIAVIX","P&F | F.A","-4.89%","15.75","0"
"79","Jet Freight Logistics Ltd","JETFREIGHT","P&F | F.A","-5.01%","14.02","2,66,688"
"93","Sab Events & Governance Now Media Limited","SABEVENTS","P&F | F.A","-5.11%","5.38","67,351"
