"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"20","Rajratan Global Wire Ltd","RAJRATAN","P&F | F.A","5.62%","438.65","1,64,533"
"26","Ujaas Energy Ltd","UEL","P&F | F.A","4.99%","313.25","513"
"74","Seya Industries Ltd","SEYAIND","P&F | F.A","4.98%","17.51","16,291"
"87","Morarjee Textiles Limited","MORARJEE","P&F | F.A","4.96%","7.2","29,127"
"86","Tv Vision Limited","TVVISION","P&F | F.A","4.92%","7.89","32,247"
"98","Housing Development And Infrastructure Limited","HDIL","P&F | F.A","4.79%","3.5","33,693"
"84","Aksh Optifibre Limited","AKSHOPTFBR","P&F | F.A","4.74%","9.29","1,46,528"
"94","Kridhan Infra Limited","KRIDHANINF","P&F | F.A","4.26%","4.65","1,33,448"
"60","Vip Clothing Limited","VIPCLOTHNG","P&F | F.A","4.18%","41.64","1,70,976"
"102","Future Supply Chain Solutions Ltd","FSC","P&F | F.A","4%","2.08","48,924"
"105","Setubandhan Infrastructure Ltd","SETUINFRA","P&F | F.A","4%","0.78","32,739"
"104","Compuage Infocom Limited","COMPINFO","P&F | F.A","3.59%","1.73","67,711"
"62","Ginni Filaments Limited","GINNIFILA","P&F | F.A","3.38%","40.05","2,34,177"
"33","Samhi Hotels Ltd","SAMHI","P&F | F.A","2.32%","212.11","32,61,345"
"103","Future Lifestyle Fashions Limited","FLFL","P&F | F.A","2.3%","1.78","78,678"
"30","Baazar Style Retail Ltd","STYLEBAAZA","P&F | F.A","2.24%","259.95","3,51,166"
"99","Sakuma Exports Limited","SAKUMA","P&F | F.A","2%","3.06","5,01,676"
"41","Suryoday Small Finance Bank Ltd","SURYODAY","P&F | F.A","1.98%","146.39","3,07,382"
"53","Radiant Cash Management Services Ltd","RADIANTCMS","P&F | F.A","1.96%","67","2,15,692"
"17","Faze Three Ltd","FAZE3Q","P&F | F.A","1.93%","567.65","45,503"
"50","Megasoft Limited","MEGASOFT","P&F | F.A","1.87%","85.98","88,435"
"92","Cerebra Integrated Technologies Limited","CEREBRAINT","P&F | F.A","1.87%","5.99","3,958"
"57","Global Education Ltd","GLOBAL","P&F | F.A","1.81%","63","77,093"
"11","Indusind Bank Limited","INDUSINDBK","P&F | F.A","1.69%","814.35","38,77,545"
"6","Whirlpool Of India Limited","WHIRLPOOL","P&F | F.A","1.52%","1251.1","98,064"
"5","Paras Defence and Space Technologies Ltd","PARAS","P&F | F.A","1.34%","1623.5","8,45,359"
"61","Suratwwala Business Group Ltd","SBGLP","P&F | F.A","1.21%","40.24","16,928"
"28","Kitex Garments Limited","KITEX","P&F | F.A","1.12%","285.1","3,51,754"
"43","Sarla Performance Fibers Limited","SARLAPOLY","P&F | F.A","0.94%","118.38","1,48,958"
"47","Atam Valves Ltd","ATAM","P&F | F.A","0.94%","101.74","12,942"
"7","Thyrocare Technologies Limited","THYROCARE","P&F | F.A","0.78%","1000.1","32,377"
