"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"204","NIFTY50DIVPOINT","NIFTY50DIVPOINT","P&F | F.A","14.76%","74.18","0"
"155","Ircon International Ltd","IRCON","P&F | F.A","13.67%","220.46","10,15,51,576"
"240","Exxaro Tiles Ltd","EXXARO","P&F | F.A","13.1%","8.98","33,00,200"
"122","Reliance Infrastructure Limited","RELINFRA","P&F | F.A","11.27%","380.6","2,83,90,440"
"110","Railtel Corporation of India Ltd","RAILTEL","P&F | F.A","10.8%","442.05","3,25,64,320"
"143","Camlin Fine Sciences Limited","CAMLINFINE","P&F | F.A","7.68%","261.14","25,24,490"
"238","Lypsa Gems & Jewellery Limited","LYPSAGEMS","P&F | F.A","7.01%","9.92","9,43,337"
"11","Garden Reach Shipbuilders & Engineers Ltd","GRSE","P&F | F.A","6.54%","3356.5","59,74,176"
"129","IIFL Capital Services Ltd","IIFLCAPS","P&F | F.A","6.26%","330.25","10,58,014"
"151","Walchandnagar Industries Limited","WALCHANNAG","P&F | F.A","6.2%","237.07","12,28,483"
"198","Nupur Recyclers Ltd","NRL","P&F | F.A","5.99%","90.35","4,19,103"
"219","Indo Rama Synthetics (india) Limited","INDORAMA","P&F | F.A","5.72%","51.21","15,41,398"
"37","Techno Electric & Engineering Company Ltd","TECHNOE","P&F | F.A","5.52%","1542.9","13,00,328"
"228","Manugraph India Limited","MANUGRAPH","P&F | F.A","5.52%","23.15","85,381"
"57","Lumax Auto Technologies Limited","LUMAXTECH","P&F | F.A","5.34%","991","12,99,362"
"112","Krishana Phoschem Ltd","KRISHANA","P&F | F.A","5.23%","424.75","2,95,745"
"92","K.P. Energy Ltd","KPEL","P&F | F.A","5.2%","566.3","7,30,048"
"51","Kernex Microsystems (india) Limited","KERNEX","P&F | F.A","5%","1165.9","2,14,094"
"123","Nahar Poly Films Limited","NAHARPOLY","P&F | F.A","4.99%","366","90,764"
"187","Jai Corp Limited","JAICORPLTD","P&F | F.A","4.99%","117.13","13,76,032"
"176","HEC Infra Projects Ltd","HECPROJECT","P&F | F.A","4.98%","148.37","65,917"
"239","Zee Learn Limited","ZEELEARN","P&F | F.A","4.89%","9.01","12,60,804"
"101","KPI Green Energy Ltd","KPIGREEN","P&F | F.A","4.88%","505.55","31,47,412"
"247","Reliance Home Finance Ltd","RHFL","P&F | F.A","4.86%","5.82","67,72,852"
"87","Hpl Electric & Power Limited","HPL","P&F | F.A","4.83%","595.8","6,41,190"
"89","Ideaforge Technology Ltd","IDEAFORGE","P&F | F.A","4.66%","587.75","25,81,588"
"63","Shankara Building Products","SHANKARA","P&F | F.A","4.63%","910.95","2,79,867"
"224","Hindustan Construction Company Limited","HCC","P&F | F.A","4.46%","34.23","3,75,52,061"
"71","Sharda Cropchem Limited","SHARDACROP","P&F | F.A","4.29%","797.75","17,42,097"
"90","Banco Products (i) Limited","BANCOINDIA","P&F | F.A","4.01%","577.5","4,83,508"
"116","Ashapura Minechem Limited","ASHAPURMIN","P&F | F.A","3.93%","395.2","13,63,417"
"27","Zen Technologies Limited","ZENTEC","P&F | F.A","3.83%","2229.6","7,66,339"
"136","Ecos (India) Mobility & Hospitality Ltd","ECOSMOBLTY","P&F | F.A","3.78%","289.8","3,38,611"
"105","Federal-mogul Goetze (india) Limited.","FMGOETZE","P&F | F.A","3.55%","461.5","1,65,954"
"210","Reliance Power Limited","RPOWER","P&F | F.A","3.46%","60.93","24,47,80,840"
"223","Ginni Filaments Limited","GINNIFILA","P&F | F.A","3.38%","40.05","2,34,177"
"235","Hcl Infosystems Limited","HCL-INSYS","P&F | F.A","3.33%","17.71","2,57,722"
"25","Interarch Building Products Ltd","INTERARCH","P&F | F.A","3.27%","2275.5","4,46,458"
"62","Aarti Pharmalabs Ltd","AARTIPHARM","P&F | F.A","3.09%","931.65","5,25,230"
"158","BLS E-Services Ltd","BLSE","P&F | F.A","2.93%","209.2","3,99,438"
"86","Premier Explosives Limited","PREMEXPLN","P&F | F.A","2.89%","596.2","28,15,278"
"2","Force Motors Ltd","FORCEMOT","P&F | F.A","2.67%","12333","90,201"
"139","Hindware Home Innovation Ltd","HINDWAREAP","P&F | F.A","2.67%","281.1","1,53,961"
"160","Apollo Micro Systems Ltd","APOLLO","P&F | F.A","2.6%","203.03","1,29,78,201"
"115","Allied Blenders & Distillers Ltd","ABDL","P&F | F.A","2.58%","404","7,88,422"
"207","Ifci Limited","IFCI","P&F | F.A","2.55%","67.49","3,14,47,354"
"75","Itd Cementation India Limited","ITDCEM","P&F | F.A","2.51%","758.45","4,10,205"
"24","Eimco Elecon (india) Limited","EIMCOELECO","P&F | F.A","2.42%","2321.3","7,902"
"65","Blue Jet Healthcare Ltd","BLUEJET","P&F | F.A","2.38%","908.1","2,59,748"
"140","Dam Capital Advisors Ltd","DAMCAPITAL","P&F | F.A","2.33%","280.55","10,09,928"
"5","Vesuvius India Limited","VESUVIUS","P&F | F.A","2.3%","6058.5","17,994"
"230","Infibeam Incorporation Limited","INFIBEAM","P&F | F.A","2.3%","21.81","1,10,25,863"
"168","Thomas Cook  (india)  Limited","THOMASCOOK","P&F | F.A","2.28%","176.24","14,98,167"
"20","Endurance Technologies Limited","ENDURANCE","P&F | F.A","2.22%","2453.9","1,10,936"
"126","Madhya Bharat Agro Products Ltd","MBAPL","P&F | F.A","2.19%","356.35","95,448"
"97","Sandhar Technologies Limited","SANDHAR","P&F | F.A","2.17%","525.3","1,25,230"
"201","Visaka Industries Limited","VISAKAIND","P&F | F.A","2.15%","85.44","1,67,889"
"73","Ifb Agro Industries Limited","IFBAGRO","P&F | F.A","2.14%","778.6","59,333"
"19","Authum Investment & Infrastructure Ltd","AIIL","P&F | F.A","2.08%","2525","1,59,325"
"103","Aarti Drugs Limited","AARTIDRUGS","P&F | F.A","2.08%","473.65","4,59,723"
"133","Rallis India Limited","RALLIS","P&F | F.A","2.04%","321.95","9,12,646"
"49","Intellect Design Arena Limited","INTELLECT","P&F | F.A","2%","1194.1","5,54,847"
"244","Kesoram Industries Limited","KESORAMIND","P&F | F.A","2%","6.12","78,19,260"
"237","TruCap Finance Ltd","TRU","P&F | F.A","1.99%","12.31","44,902"
"109","Zaggle Prepaid Ocean Services Ltd","ZAGGLE","P&F | F.A","1.97%","442.7","6,33,468"
"236","Praxis Home Retail Ltd","PRAXIS","P&F | F.A","1.96%","12.51","1,52,439"
"174","Ratnaveer Precision Engineering Ltd","RATNAVEER","P&F | F.A","1.94%","155.86","2,22,681"
