"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"131","Prince Pipes & Fittings Ltd","PRINCEPIPE","P&F | F.A","1.92%","328.35","2,08,364"
"249","Mep Infrastructure Developers Limited","MEP","P&F | F.A","1.9%","2.14","6,711"
"83","Tanla Solutions Limited","TANLA","P&F | F.A","1.88%","626.3","5,94,081"
"200","Megasoft Limited","MEGASOFT","P&F | F.A","1.87%","85.98","88,435"
"214","ICDS Ltd","ICDSLTD","P&F | F.A","1.82%","55.81","4,609"
"134","Honasa Consumer Ltd","HONASA","P&F | F.A","1.79%","318.5","9,18,282"
"32","Credit Analysis And Research Limited","CARERATING","P&F | F.A","1.74%","1822","98,939"
"68","Dynamic Cables Ltd","DYCL","P&F | F.A","1.74%","883.6","2,06,975"
"67","Carysil Ltd","CARYSIL","P&F | F.A","1.68%","888.25","1,22,196"
"7","Garware Hi Tech Films Ltd","GRWRHITECH","P&F | F.A","1.67%","4656.4","49,028"
"1","Hitachi Energy India Ltd","POWERINDIA","P&F | F.A","1.64%","19801","1,63,477"
"74","Schneider Electric Infrastructure Limited","SCHNEIDER","P&F | F.A","1.55%","772.65","4,50,712"
"82","Eureka Forbes Ltd","EUREKAFORB","P&F | F.A","1.37%","630.05","1,11,873"
"42","Hind Rectifiers Limited","HIRECT","P&F | F.A","1.36%","1352.3","54,600"
"61","Tatva Chintan Pharma Chem Ltd","TATVA","P&F | F.A","1.33%","945.9","1,14,120"
"113","Mishra Dhatu Nigam Ltd","MIDHANI","P&F | F.A","1.33%","422.05","13,17,476"
"203","Mmtc Limited","MMTC","P&F | F.A","1.27%","78.05","1,02,39,415"
"79","Mold-tek Packaging Limited","MOLDTKPAC","P&F | F.A","1.26%","672.45","1,27,929"
"185","Nbcc (india) Limited","NBCC","P&F | F.A","1.18%","124.88","1,53,58,451"
"18","BSE (Bombay stock exchange)","BSE","P&F | F.A","1.16%","2797.1","68,27,661"
"195","Cubex Tubings Limited","CUBEXTUB","P&F | F.A","1.14%","96.06","42,711"
"153","Engineers India Limited","ENGINERSIN","P&F | F.A","1.07%","232.11","96,54,542"
"241","Madhucon Projects Limited","MADHUCON","P&F | F.A","1.07%","8.47","35,886"
"36","Va Tech Wabag Limited","WABAG","P&F | F.A","1.04%","1621.4","3,25,655"
"251","Vaxtex Cotfab Ltd","VCL","P&F | F.A","1.01%","1","34,43,435"
"6","Pfizer Limited","PFIZER","P&F | F.A","1%","5750.5","45,111"
"135","Wanbury Limited","WANBURY","P&F | F.A","1%","299.2","22,447"
"69","Shilpa Medicare Limited","SHILPAMED","P&F | F.A","0.99%","883.6","1,15,497"
"39","Pearl Global Industries Limited","PGIL","P&F | F.A","0.96%","1413","41,922"
"144","ACME Solar Holdings Ltd","ACMESOLAR","P&F | F.A","0.96%","253.7","2,48,499"
"45","Unimech Aerospace and Manufacturing Ltd","UNIMECH","P&F | F.A","0.95%","1299.3","1,70,108"
"9","Beml Limited","BEML","P&F | F.A","0.94%","4373.7","14,00,257"
"125","Tilaknagar Industries Limited","TI","P&F | F.A","0.94%","360.85","10,73,586"
"12","Timken India Limited","TIMKEN","P&F | F.A","0.87%","3274","1,82,061"
"44","Emcure Pharmaceuticals Ltd","EMCURE","P&F | F.A","0.87%","1334","31,672"
"23","GE Vernova T&D India Ltd","GVT&D","P&F | F.A","0.84%","2359.7","6,00,743"
"64","Alicon Castalloy Limited","ALICON","P&F | F.A","0.76%","908.4","12,340"
"132","Kaya Limited","KAYA","P&F | F.A","0.75%","323.8","24,442"
"118","Man Industries (india) Limited","MANINDS","P&F | F.A","0.74%","394.25","7,07,886"
"13","Angel One Ltd","ANGELONE","P&F | F.A","0.73%","3128.6","6,69,560"
"84","Universal Cables Limited","UNIVCABLES","P&F | F.A","0.67%","619.8","51,026"
"190","Cupid Limited","CUPID","P&F | F.A","0.67%","111.98","35,38,803"
"15","Lumax Industries Limited","LUMAXIND","P&F | F.A","0.65%","2952.4","20,952"
"53","Astra Microwave Products Limited","ASTRAMICRO","P&F | F.A","0.64%","1147.9","7,11,540"
"120","Til Limited","TIL","P&F | F.A","0.63%","382.4","41,466"
"38","Clean Science & Technology Ltd","CLEAN","P&F | F.A","0.61%","1489.3","73,146"
"161","Saksoft Limited","SAKSOFT","P&F | F.A","0.61%","198.78","2,74,491"
"194","Bharat Seats Ltd","BHARATSE","P&F | F.A","0.55%","104.33","39,561"
"188","Zodiac Clothing Company Limited","ZODIACLOTH","P&F | F.A","0.52%","113.06","9,418"
"167","Inox Green Energy Services Ltd","INOXGREEN","P&F | F.A","0.51%","178.18","18,73,379"
"100","Max Estates Ltd","MAXESTATES","P&F | F.A","0.5%","509.1","65,587"
"227","Rushil Decor Limited","RUSHIL","P&F | F.A","0.5%","30.36","14,27,071"
"47","Nucleus Software Exports Limited","NUCLEUS","P&F | F.A","0.47%","1241.8","17,622"
"95","Precot Meridian Limited","PRECOT","P&F | F.A","0.42%","530.75","8,285"
"216","Network18 Media & Investments Limited","NETWORK18","P&F | F.A","0.42%","55.32","40,91,914"
"215","Sigachi Industries Ltd","SIGACHI","P&F | F.A","0.41%","55.76","69,35,789"
"225","Centrum Capital Ltd","CENTRUM","P&F | F.A","0.4%","32.88","11,42,557"
"169","Kronox Lab Sciences Ltd","KRONOX","P&F | F.A","0.39%","171","1,13,205"
"21","Shriram Pistons & Rings Limited","SHRIPISTON","P&F | F.A","0.35%","2445.6","45,739"
"191","Western Carriers (India) Ltd","WCIL","P&F | F.A","0.35%","111.44","13,07,986"
"189","Ausom Enterprise Limited","AUSOMENT","P&F | F.A","0.34%","112.11","7,069"
"40","R R Kabel Ltd","RRKABEL","P&F | F.A","0.3%","1380.3","2,33,938"
"178","Linc Ltd","LINC","P&F | F.A","0.3%","144.21","45,768"
"149","D P Wires Ltd","DPWIRES","P&F | F.A","0.29%","239.85","20,619"
"48","Newgen Software Technologies Ltd","NEWGEN","P&F | F.A","0.27%","1224.5","1,27,293"
"165","Precision Wires India Limited","PRECWIRE","P&F | F.A","0.27%","185.26","3,75,753"
"211","Iris Clothings Ltd","IRISDOREME","P&F | F.A","0.27%","59.64","1,42,533"
"94","Aarti Surfactants Ltd","AARTISURF","P&F | F.A","0.26%","558.45","2,519"
"226","Hindustan Motors Limited","HINDMOTORS","P&F | F.A","0.25%","31.63","30,56,739"
"96","Vishnu Chemicals Limited","VISHNU","P&F | F.A","0.17%","530.2","1,95,522"
"157","Finolex Industries Limited","FINPIPE","P&F | F.A","0.16%","216.81","7,37,716"
"217","Vascon Engineers Limited","VASCONEQ","P&F | F.A","0.15%","54.15","16,15,335"
"182","Veto Switchgears And Cables Limited","VETO","P&F | F.A","0.14%","132.04","1,25,441"
"130","Shree Pushkar Chemicals & Fertilisers Limited","SHREEPUSHK","P&F | F.A","0.12%","328.4","3,18,481"
"59","Goodluck India Limited","GOODLUCK","P&F | F.A","0.08%","969.35","89,726"
"212","Asian Granito India Limited","ASIANTILES","P&F | F.A","0.07%","58.01","4,44,335"
"183","Jm Financial Limited","JMFINANCIL","P&F | F.A","0.04%","130.92","28,40,245"
"193","Inspirisys Solutions Ltd","INSPIRISYS","P&F | F.A","0.02%","104.84","5,445"
"213","Filatex India Limited","FILATEX","P&F | F.A","0%","57.83","13,36,148"
"72","Dredging Corporation Of India Limited","DREDGECORP","P&F | F.A","-0.04%","788.75","1,23,342"
"60","Happy Forgings Ltd","HAPPYFORGE","P&F | F.A","-0.05%","957.35","25,847"
"163","Sequent Scientific Limited","SEQUENT","P&F | F.A","-0.06%","192.3","4,72,521"
"162","Aditya Birla Money Limited","BIRLAMONEY","P&F | F.A","-0.07%","198.78","2,65,507"
"34","Vindhya Telelinks Limited","VINDHYATEL","P&F | F.A","-0.08%","1679.8","14,104"
"205","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","-0.1%","72.41","95,67,996"
"80","Transrail Lighting Ltd","TRANSRAILL","P&F | F.A","-0.12%","669","35,96,517"
"70","63 Moons Technologies","63MOONS","P&F | F.A","-0.13%","842.75","1,01,930"
"66","Ccl Products (india) Limited","CCL","P&F | F.A","-0.16%","889.6","7,64,106"
"4","Apar Industries Limited","APARINDS","P&F | F.A","-0.22%","7946","36,461"
"150","EPL Ltd","EPL","P&F | F.A","-0.24%","238.44","8,41,714"
"159","India Pesticides Ltd","IPL","P&F | F.A","-0.24%","207.84","4,15,371"
"78","Ram Ratna Wires Ltd","RAMRAT","P&F | F.A","-0.27%","673.65","69,129"
"99","Sejal Glass Ltd","SEJALLTD","P&F | F.A","-0.29%","509.5","1,404"
"81","Bajaj Electricals Limited","BAJAJELEC","P&F | F.A","-0.33%","653.45","36,490"
"30","India Glycols Limited","INDIAGLYCO","P&F | F.A","-0.36%","1908.4","68,841"
"28","Netweb Technologies India Ltd","NETWEB","P&F | F.A","-0.38%","1967.6","2,31,181"
"242","DCM Financial Services Ltd","DCMFINSERV","P&F | F.A","-0.43%","6.98","13,074"
"184","Nelcast Limited","NELCAST","P&F | F.A","-0.44%","129.36","1,55,337"
"232","Consolidated Construction Consortium Limited","CCCL","P&F | F.A","-0.45%","19.89","2,17,505"
"102","Zodiac Energy Ltd","ZODIAC","P&F | F.A","-0.46%","494.5","49,157"
"124","Sigma Solve Ltd","SIGMA","P&F | F.A","-0.48%","361.4","4,986"
"172","New Delhi Television Limited","NDTV","P&F | F.A","-0.5%","161.86","1,48,222"
"221","Shree Rama Multi-tech Limited","SHREERAMA","P&F | F.A","-0.51%","44.45","1,33,155"
"164","Standard Glass Lining Technology Ltd","SGLTL","P&F | F.A","-0.54%","189.21","26,83,353"
"177","Kriti Industries (India) Ltd","KRITI","P&F | F.A","-0.54%","144.72","13,246"
"108","L T Foods Ltd","LTFOODS","P&F | F.A","-0.66%","443.1","4,32,735"
"117","Genus Power Infrastructures Limited","GENUSPOWER","P&F | F.A","-0.69%","394.45","16,72,581"
"10","Eclerx Services Limited","ECLERX","P&F | F.A","-0.72%","3502.2","35,057"
"111","SRM Contractors Ltd","SRM","P&F | F.A","-0.72%","440.7","1,03,159"
"197","The Byke Hospitality Ltd","BYKE","P&F | F.A","-0.72%","90.66","51,002"
"127","Surya Roshni Limited","SURYAROSNI","P&F | F.A","-0.77%","333.05","2,66,565"
"98","IFGL Refractories Ltd","IFGLEXPOR","P&F | F.A","-0.78%","516.6","9,039"
"41","Birla Corporation Limited","BIRLACORPN","P&F | F.A","-0.8%","1359.5","42,803"
"17","Prudent Corporate Advisory Services Ltd","PRUDENT","P&F | F.A","-0.81%","2822.8","22,632"
"56","Kajaria Ceramics Limited","KAJARIACER","P&F | F.A","-0.81%","1024.3","1,04,116"
"77","Balu Forge Industries Ltd","BALUFORGE","P&F | F.A","-0.83%","700.75","6,87,700"
"128","Iti Limited","ITI","P&F | F.A","-0.83%","330.25","8,40,723"
"156","Anuh Pharma Ltd","ANUHPHR","P&F | F.A","-0.87%","217.02","30,627"
"192","Edelweiss Financial Services Limited","EDELWEISS","P&F | F.A","-0.93%","104.93","28,38,807"
"85","Antony Waste Handling Cell Ltd","AWHCL","P&F | F.A","-0.94%","606.4","92,327"
"88","Mangalam Organics Ltd","MANORG","P&F | F.A","-0.95%","593.95","2,649"
"233","Uniinfo Telecom Services Ltd","UNIINFO","P&F | F.A","-1%","19.8","375"
"91","Mayur Uniquoters Ltd","MAYURUNIQ","P&F | F.A","-1.06%","571.4","56,226"
"121","Sky Gold Ltd","SKYGOLD","P&F | F.A","-1.08%","381.35","3,72,514"
"179","A B Infrabuild Ltd","ABINFRA","P&F | F.A","-1.19%","140.2","35,253"
"33","NIBE Ltd","NIBE","P&F | F.A","-1.21%","1694.6","1,13,690"
"43","Sansera Engineering Ltd","SANSERA","P&F | F.A","-1.21%","1349.1","1,19,068"
"104","Quality Power Electrical Equipments Ltd","QPOWER","P&F | F.A","-1.23%","468.5","6,70,101"
"52","Jubilant Pharmova Ltd","JUBLPHARMA","P&F | F.A","-1.25%","1160","95,948"
"199","Iol Chemicals And Pharmaceuticals Limited","IOLCP","P&F | F.A","-1.28%","86.54","10,84,134"
"180","Nahar Industrial Enterprises Limited","NAHARINDUS","P&F | F.A","-1.3%","133.57","21,466"
"58","NDR Auto Components Ltd","NDRAUTO","P&F | F.A","-1.39%","981.9","1,70,337"
"148","Ppap Automotive Limited","PPAP","P&F | F.A","-1.41%","240.17","30,537"
"138","DEE Development Engineers Ltd","DEEDEV","P&F | F.A","-1.48%","282.05","91,583"
"29","Bharat Dynamics Ltd","BDL","P&F | F.A","-1.49%","1947.4","47,00,149"
"152","Suven Life Sciences Limited","SUVEN","P&F | F.A","-1.5%","234.28","9,28,065"
"31","Shaily Engineering Plastics Ltd","SHAILY","P&F | F.A","-1.52%","1882.1","97,527"
"14","Technocraft Industries (india) Limited","TIIL","P&F | F.A","-1.56%","3012.6","9,776"
"141","Godavari Biorefineries Ltd","GODAVARIB","P&F | F.A","-1.56%","278.15","50,651"
"16","Honda Siel Power Products Limited","HONDAPOWER","P&F | F.A","-1.59%","2916.7","9,402"
"222","Indian Terrain Fashions Limited","INDTERRAIN","P&F | F.A","-1.59%","40.96","1,59,853"
"35","Dhanuka Agritech Limited","DHANUKA","P&F | F.A","-1.6%","1674.3","1,37,206"
"26","Sundaram Clayton Ltd","SUNCLAY","P&F | F.A","-1.64%","2251.9","9,817"
"46","Nazara Technologies Ltd","NAZARA","P&F | F.A","-1.66%","1247.4","11,17,669"
"231","Syncom Formulations (India) Ltd","SYNCOMF","P&F | F.A","-1.7%","20.83","45,28,001"
"170","Credo Brands Marketing Ltd","MUFTI","P&F | F.A","-1.73%","170.52","1,03,560"
"93","Black Box Ltd","BBOX","P&F | F.A","-1.97%","559.85","3,47,057"
"114","HLE Glascoat Ltd","HLEGLAS","P&F | F.A","-1.97%","413.15","87,210"
"137","Nahar Spinning Mills Limited","NAHARSPING","P&F | F.A","-2%","283.55","30,751"
"145","Pansari Developers Ltd","PANSARI","P&F | F.A","-2%","251.27","411"
"209","VL E-Governance & IT Solutions Ltd","VLEGOV","P&F | F.A","-2.01%","63.73","92,802"
"229","Shanti Overseas (India) Ltd","SHANTI","P&F | F.A","-2.01%","22.92","64,279"
"146","Greenlam Industries Limited","GREENLAM","P&F | F.A","-2.02%","246.8","34,064"
"234","Astron Paper & Board Mill Ltd","ASTRON","P&F | F.A","-2.03%","19.28","965"
"142","Dishman Carbogen Amcis Ltd","DCAL","P&F | F.A","-2.05%","264.75","4,96,612"
"202","Khaitan Chemicals & Fertilizers Ltd","KHAICHEM","P&F | F.A","-2.05%","84.47","2,86,843"
"243","Nagarjuna Fertilizers And Chemicals Limited","NAGAFERT","P&F | F.A","-2.07%","6.15","2,24,135"
"208","Suzlon Energy Limited","SUZLON","P&F | F.A","-2.1%","66.72","12,57,34,824"
"8","Foseco India Limited","FOSECOIND","P&F | F.A","-2.12%","4416","2,355"
"245","Rajnandini Metal Ltd","RAJMET","P&F | F.A","-2.12%","5.99","1,94,454"
"119","Pavna Industries Ltd","PAVNAIND","P&F | F.A","-2.14%","388.5","10,487"
"55","Yuken India Ltd","YUKEN","P&F | F.A","-2.15%","1076.2","15,152"
"246","Dish Tv India Limited","DISHTV","P&F | F.A","-2.16%","5.89","2,81,290"
"76","Shree Vasu Logistics Ltd","SVLL","P&F | F.A","-2.2%","730.4","6,286"
"248","Noida Toll Bridge Company Limited","NOIDATOLL","P&F | F.A","-2.24%","3.93","62,295"
"154","Kanpur Plastipack Ltd","KANPRPLA","P&F | F.A","-2.25%","229.17","32,627"
"54","Axiscades Engineering Technologies Limited","AXISCADES","P&F | F.A","-2.39%","1077.2","1,78,198"
"3","TVS Holdings Ltd","TVSHLTD","P&F | F.A","-2.54%","11264","9,656"
"106","Venus Remedies Limited","VENUSREM","P&F | F.A","-2.6%","447.8","1,55,104"
"220","Gp Petroleums Limited","GULFPETRO","P&F | F.A","-2.63%","46.98","2,05,985"
"107","Valiant Organics Ltd","VALIANTORG","P&F | F.A","-2.75%","446.85","66,742"
"171","Modison Ltd","MODISONLTD","P&F | F.A","-2.86%","164.5","54,842"
"186","Maan Aluminium Limited","MAANALU","P&F | F.A","-2.91%","121.56","3,00,945"
"218","Fiberweb (India) Ltd","FIBERWEB","P&F | F.A","-2.99%","52.31","93,849"
"147","Megastar Foods Ltd","MEGASTAR","P&F | F.A","-3.1%","242.1","33,339"
"50","Cosmo Films Ltd","COSMOFIRST","P&F | F.A","-3.13%","1167.8","1,40,626"
"181","Khaitan (india) Limited","KHAITANLTD","P&F | F.A","-3.36%","132.43","5,550"
"196","Delta Magnets Limited","DELTAMAGNT","P&F | F.A","-3.54%","94.37","23,351"
"206","Signet Industries Ltd","SIGIND","P&F | F.A","-4.05%","69.01","97,831"
"166","Arvee Laboratories (India) Ltd","ARVEE","P&F | F.A","-4.61%","184.77","2,046"
"175","Ravindra Energy Ltd","RELTD","P&F | F.A","-4.62%","152.48","2,64,222"
"22","Centum Electronics Limited","CENTUM","P&F | F.A","-4.74%","2380.1","68,553"
"250","Rollatainers Limited","ROLLT","P&F | F.A","-5.43%","2.09","1,13,952"
"173","Sun Pharma Advanced Research Company Limited","SPARC","P&F | F.A","-19.65%","156.83","1,73,37,981"
