"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"14","Blue Coast Hotels Limited","BLUECOAST","P&F | F.A","4.98%","28.02","2,355"
"2","Srf Limited","SRF","P&F | F.A","3.13%","3046.9","12,25,479"
"5","Blue Jet Healthcare Ltd","BLUEJET","P&F | F.A","2.38%","908.1","2,59,748"
"7","Madhya Bharat Agro Products Ltd","MBAPL","P&F | F.A","2.19%","356.35","95,448"
"8","Tera Software Ltd","TERASOFT","P&F | F.A","2%","257.65","6,522"
"9","Bgr Energy Systems Limited","BGRENERGY","P&F | F.A","2%","115.48","21,437"
"4","Indo Thai Securities Limited","INDOTHAI","P&F | F.A","1.24%","1804","3,659"
"16","California Software Company Limited","CALSOFT","P&F | F.A","1.04%","10.71","17,399"
"12","Nandani Creation Ltd","JAIPURKURT","P&F | F.A","1%","42.37","12,510"
"1","Navin Fluorine International Limited","NAVINFLUOR","P&F | F.A","0.4%","4428.9","93,928"
"3","Mps Limited","MPSLTD","P&F | F.A","0.16%","2712.4","16,906"
"11","Medico Remedies Ltd","MEDICO","P&F | F.A","-0.23%","52.49","3,35,442"
"13","Prozone Realty Ltd","PROZONER","P&F | F.A","-0.99%","34.06","1,02,334"
"6","Goldiam International Limited","GOLDIAM","P&F | F.A","-1.01%","363.8","2,61,580"
"10","Embassy Development Limited","EMBDL","P&F | F.A","-1.09%","110.08","24,60,791"
"17","Premier Limited","PREMIER","P&F | F.A","-1.47%","3.35","25,944"
"15","Avonmore Capital & Management Services Ltd","AVONMORE","P&F | F.A","-2.03%","20.22","52,589"
