"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"2","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","5.39%","3420","2,69,490"
"10","Blue Coast Hotels Limited","BLUECOAST","P&F | F.A","4.98%","28.02","2,355"
"3","Aarti Pharmalabs Ltd","AARTIPHARM","P&F | F.A","3.09%","931.65","5,25,230"
"9","Norben Tea & Exports Limited","NORBTEAEXP","P&F | F.A","3.07%","38.31","3,254"
"6","Nitiraj Engineers Ltd","NITIRAJ","P&F | F.A","2.7%","219.29","53,416"
"7","Silgo Retail Ltd","SILGO","P&F | F.A","1.99%","53.29","10,067"
"4","Taj Gvk Hotels & Resorts Limited","TAJGVK","P&F | F.A","0.24%","439.25","1,62,196"
"5","Semac Consultants Ltd","SEMAC","P&F | F.A","0.11%","370.4","1,277"
"1","TCPL Packaging Ltd","TCPLPACK","P&F | F.A","-0.81%","3834.1","5,461"
"8","Shree Rama Newsprint Limited","RAMANEWS","P&F | F.A","-2.01%","40.48","37,980"
